organisation,records lost,year,month,story,sector,method,data sensitivity,1st source link
Dailymotion,85200000,2016,May,Users of the video sharing site had their email addresses and usernames stolen. One in five also had their passwords compromised.,web,hacked,1,http://www.zdnet.com/article/dailymotion-hack-exposes-millions-of-accounts/
DataCamp,700000,2019,February ,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
db8151dd,22000000,2020,March,"Aggregated data from multiple websites was discovered in an open database. It included addresses, job titles, phone numbers and social media profiles. The breach was dubbed 'db8151dd'.",web,hacked,2,https://9to5mac.com/2020/05/15/db8151dd/
Deep Root Analytics,198000000,2015,May,"A insecure database containing US voter information was discovered by a researcher. It contained names, addresses, contact details and party affiliations.",web,poor security,2,http://uk.reuters.com/article/us-usa-voters-breach-idUKKBN0UB1E020151229
Dell,100000,2018,May,"Dell detected and disrupted unauthorized attempts to extract customer names, email addresses & hashed passwords. The number of affected customers was not disclosed.",tech,hacked,1,https://www.zdnet.com/article/dell-announces-security-breach/
Desjardins Group,4200000,2019,March,"An employee of the Canadian financial firm leaked customer information outside the organisation: names, addresses, birthdates, social insurance numbers & transaction habits.",finance,inside job,2,https://www.cbc.ca/news/canada/montreal/desjardins-data-breach-1.5344216
Digital Ocean,10000000,2021,April,"""The cloud infrastructure giant told customers in an email on Wednesday, obtained by TechCrunch, that it has “confirmed an unauthorized exposure of details associated with the billing profile on your DigitalOcean account.” The company said the person “gained access to some of your billing account details through a flaw that has been fixed” over a two-week window between April 9 and April 22.""",tech,poor security,1,https://techcrunch.com/2021/04/28/digitalocean-customer-billing-data-breach/
Disqus,17500000,2017,May,Hackers stole 17.5m email addresses in 2012. About a third of those records included passwords hashed using a weak algorithm.,web,hacked,4,http://www.zdnet.com/article/disqus-confirms-comments-tool-hacked/
Dixons Carphone,10000000,2018,April,The firm admitted that hackers were able to access the details of 10m customers and 6m payment cards.,telecoms,hacked,1,https://www.bbc.co.uk/news/business-45016906
Dominios Pizzas (France),600000,2014,September ,"Hackers demanded a ransom of $24,000 from Domino's Pizza after stealing personal data on more than 600,000 of its French and Belgian customers.",retail,hacked,1,http://www.theguardian.com/technology/2014/jun/16/dominos-pizza-ransom-hack-data
DoorDash,4900000,2019,April,"Users who joined the platform before April 2018 had their names, email addresses, order history, phone numbers and encrypted passwords stolen in a hack.",transport,hacked,2,https://techcrunch.com/2019/09/26/doordash-data-breach/
Driving Standards Agency,3000000,2007,September ,"A hard disk with details of UK driving theory test candidates was lost by a contractor while they were in Iowa, USA.",government,lost device,2,http://news.bbc.co.uk/1/hi/uk_politics/7147715.stm
Drizly,2400000,2020,July,"Alcohol delivery service hacked with email addresses, DOB, hashed passwords and some home addresses leaked.",app,hacked,2,https://techcrunch.com/2020/07/28/drizly-data-breach/
Dropbox,68700000,2012,July,"User credentials were stolen in a 2012 hack, but the number affected only came to light four years later. Dropbox reset any passwords that had been unchanged since 2012.",web,hacked,1,https://www.bbc.co.uk/news/technology-37232635
Drupal,1000000,2013,March,"Malicious files were placed on the servers of the content management platform. They exposed usernames, e-mail addresses and cryptographically hashed passwords.",web,hacked,1,http://arstechnica.com/security/2013/05/drupal-org-resets-login-credentials-after-hack-exposes-password-data/
Dubai Real Estate Leak,800000,2022,October,"Data leak exposes how criminals, officials, and sanctioned politicians poured money into Dubai real estate including more than 100 members of Russia's political elite, public officials, or businesspeople close to the Kremlin, as well as dozens of Europeans implicated in money laundering and corruption",finance,inside job,1,https://e24.no/internasjonal-oekonomi/i/Bj97B0/dubai-uncovered-data-leak-exposes-how-criminals-officials-and-sanctioned-politicians-poured-money-into-dubai-real-estate
Dubsmash,162000000,2019,February ,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Dutch Government,6900000,2020,July,"Two hard drives with data from 6.9m registered organ donors went missing. They contained contact details, ID numbers & signatures.",government,lost device,4,https://www.zdnet.com/article/dutch-government-loses-hard-drives-with-data-of-6-9-million-registered-donors/
EasyJet,9000000,2020,February ,"The airline became aware of a hack in January, but didn't notify customers until April. Email addresses, travel details and credit card details were stolen.",transport,hacked,3,https://www.bbc.co.uk/news/technology-52722626
Ebay,145000000,2014,March,"Hackers attacked between late February and early March, using the login credentials of three corporate employees. They then accessed a database containing all user records.",web,hacked,1,https://www.businessinsider.com/cyber-thieves-took-data-on-145-million-ebay-customers-by-hacking-3-corporate-employees-2014-5?r=US&IR=T
Educational Credit Management Corp,3300000,2010,September ,A contractor for the US Department of Education stole a device containing student loan records. The breach affected as many as 5% of all the country's federal student loan borrowers.,finance,lost device,2,https://www.wsj.com/articles/SB10001424052702304434404575150024174102954
Eisenhower Medical Center,514330,2011,March,"A computer stolen from the hospital contained patients' names, ages, dates of birth, medical record numbers and the last four digits of their social security numbers.",health,lost device,4,http://databreachinvestigation.blogspot.com/2011/04/thief-gets-away-with-eisenhower-medical.html
"Emergency Healthcare Physicians, Ltd.",180111,2010,October,"A stolen portable hard drive contained records from 2003 to 2006, including patient names, addressees, phone numbers, birth dates and Social Security numbers.",health,lost device,4,http://www.healthcareinfosecurity.com/chicago-breach-affects-180000-a-2496
Emory Healthcare,315000,2012,June,"The company 'misplaced' 10 backup discs containing sensitive patient information, including social security numbers.",health,lost device,4,http://news.emory.edu/stories/2012/04/ehc_missing_data/campus.html
Epik,15000000,2021,July,"An Internet-services company for concealing online identities, popular with the far right",retail,hacked,5,https://arstechnica.com/information-technology/2021/09/epik-data-breach-impacts-15-million-users-including-non-customers/
Epsilon,3000000,2011,June,"Names & email addresses of customers of Barclaycard US, Capital One, JP Morgan, Citigroup & other firms were stolen via a breach in an email system.",web,hacked,1,https://www.theguardian.com/technology/2011/apr/04/epsilon-email-hack
Equifax,143000000,2017,January,"A breach of the health insurance firm's database exposed the names, social security numbers, birth dates, addresses, driver's license numbers and credit card information of US, UK and Canadian citizens.",finance,hacked,4,https://www.consumer.ftc.gov/blog/2017/09/equifax-data-breach-what-do
Estonian gov,280000,2021,May,"A hacker was able to obtain over 280,000 personal identity photos following an attack on the state information system last Friday.",government,hacked,4,https://news.err.ee/1608291072/hacker-downloads-close-to-300-000-personal-id-photos
European Central Bank,4000000,2014,Janauary,"The ECB received an anonymous call requesting money in return for the stolen data. The bank didn't say how much the blackmailer asked for, but did say that it refused to pay anything.",finance,hacked,1,http://www.cityam.com/1406190300/ecb-website-hacked
Evernote,50000000,2013,July,"Evernote asked all its users to reset their passwords, following the discovery of unauthorised access of personal details.",web,hacked,1,http://www.wired.co.uk/news/archive/2013-03/04/evernote-hacked
Experian / T-mobile,15000000,2015,February ,The world's biggest data monitoring firm disclosed a massive data breach. It had exposed the details of T-Mobile customers applying for credit checks.,telecoms,hacked,3,http://www.reuters.com/article/2015/10/02/us-tmobile-dataprotection-idUSKCN0RV5PL20151002
Experian Brazil,220000000,2021,November,Details hazy,finance,hacked,2,https://www.zdnet.com/article/experian-challenged-over-massive-data-leak-in-brazil/
Experian SA,24000000,2020,March,Handed over personal information of their South African customers to a fraudulent client.,web,Mistake,3,"https://westoahu.hawaii.edu/cyber/global-weekly-exec-summary/experian-security-breach-in-south-africa/#:~:text=Experian%20disclosed%20the%20data%20breach,local%20businesses%20(Cimpanu%202020)."
EyeEm,22000000,2019,July,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Facebook,533000000,2021,September ,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,1,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T
Facebook,419000000,2019,December,"Several unprotected databases were found to contain the phone numbers of around 20% of all Facebook users, with (in some cases) names and locations.",web,poor security,2,https://www.fastcompany.com/90399734/the-phone-numbers-of-419-million-facebook-accounts-have-been-leaked
Facebook,50000000,2018,February ,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,1,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu
Facebook,29000000,2018,September ,"The biggest hack in Facebook's history to date. Names, birth dates, phone numbers, search history and location data was stolen by hackers masquerading as a digital marketing company.",web,hacked,2,https://www.businessinsider.com.au/facebook-thinks-spammers-responsible-hack-stole-info-from-29-million-users-2018-10?r=US&IR=T
Facebook,6000000,2013,April,"By using the network's ""Download Your Information"" tool, some Facebook members were able to access phone numbers and email addresses of strangers.",web,Mistake,1,https://www.facebook.com/notes/facebook-security/important-message-from-facebooks-white-hat-program/10151437074840766
Fidelity National Information Services,8500000,2007,September ,"An employee sold customer information to a data broker, including names, addresses, birth dates, bank account and credit card information.",finance,inside job,3,http://www.pcworld.com/article/135117/article.html
Firebase,100000000,2018,November,"Misconfigured databases used by app developers were found to be exposing 113GB of personal data, accumulated by thousands of iOS and Android mobile apps.",app,poor security,5,https://www.bleepingcomputer.com/news/security/thousands-of-apps-leak-sensitive-data-via-misconfigured-firebase-backends/
FlexBooker,3700000,2022,December,appointment scheduling service,web,hacked,3,https://www.bleepingcomputer.com/news/security/flexbooker-discloses-data-breach-over-37-million-accounts-impacted/
Fling,40000000,2016,September ,"Data allegedly stolen in 2011 was put up for sale on the dark web. The stash included email addresses, plain text passwords and information on sexual desires & preferences.",web,hacked,4,https://www.ibtimes.co.uk/fling-com-breach-passwords-sexual-preferences-40-million-users-sale-dark-web-1558711
Florida Department of Juvenile Justice,100000,2013,November,"The theft of a mobile device containing youth and employment records exposed 100,000 young people to potential identity theft.",government,lost device,2,https://www.databreaches.net/stolen-florida-dept-of-juvenile-justice-device-contained-records-of-more-than-100000-youth-and-employees/
Formspring,420000,2012,March,"420,000 hashed passwords were posted to a security forum. Formspring immediately forced users to reset their passwords.",web,hacked,1,http://news.cnet.com/8301-1009_3-57469944-83/formspring-disables-user-passwords-in-security-breach/?tag=mncol;txt
Fotolog,16000000,2019,September ,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Friend Finder Network,412000000,2016,July,"Almost every password used on Adult Friend Finder, Cams.com and Penthouse.com was breached. Those passwords were encrypted, but easily crackable.",web,hacked,1,http://www.zdnet.com/article/adultfriendfinder-network-hack-exposes-secrets-of-412-million-users/
Gab,4000000,2021,July,"Over 70GB of data from the far-right social media site was hacked. Alll posts, messages, passwords from all users were breached.",tech,hacked,3,https://www.wired.com/story/gab-hack-data-breach-ddosecrets/
Gamigo,8000000,2012,March,"4 months after the gaming site Gamigo warned users about a hacker intrusion, more than 8 million usernames, emails & encrypted passwords from the site were published on the web.",web,hacked,1,http://www.forbes.com/sites/andygreenberg/2012/07/23/eight-million-passwords-spilled-from-gaming-site-gamigo-months-after-breach/
Gap Inc,800000,2007,February ,A laptop containing data on people who applied for positions at Gap stores between July 2006 and June 2007 was stolen.,retail,lost device,2,http://www.pcworld.com/article/137865/article.html
Gawker.com,1500000,2010,November,"The notorious website was hacked. The source code was stolen, along with 1.5 million usernames, emails and passwords.",web,hacked,2,http://www.guardian.co.uk/technology/2010/dec/13/gawker-hackers-passwords-twitter-wikileaks?INTCMP=SRCH
Ge.tt,1800000,2019,March,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,web,hacked,1,https://techcrunch.com/2019/02/14/hacker-strikes-again/
GEDmatch,1400000,2020,January,DNA data on up to 1.4m users of this geneaology site may have been hacked.,health,hacked,5,https://www.nytimes.com/2020/08/01/technology/gedmatch-breach-privacy.html?referringSource=articleShare
Global Payments,1500000,2012,February ,"Hackers gained unauthorised access to systems of the payment processing firm, exposing over a million credit card numbers.",finance,hacked,3,http://www.washingtonpost.com/business/technology/faq-the-global-payments-hack/2012/04/02/gIQAIHLLrS_story.html
GMail,5000000,2014,April,Account details and passwords were posted on a Russian Bitcoin forum. Close inspection revealed the user details to be old (3+ years). Gmail itself was not hacked.,web,hacked,1,http://thenextweb.com/google/2014/09/10/4-93-million-gmail-usernames-passwords-published-google-says-evidence-systems-compromised/
GoDaddy,1200000,2021,March,Security Incident Affecting Managed WordPress Servic,web,hacked,1,https://techcrunch.com/2021/11/09/robinhood-data-breach/?guccounter=1
Google+,52500000,2018,November,"A vulnerability exposed users' personal details to developers, even if their profiles were set to private. As a result, Google shut down the consumer version of the social network 4 months early.",web,poor security,2,https://www.theverge.com/2018/12/10/18134541/google-plus-privacy-api-data-leak-developers
GovPayNow.com,14000000,2018,December,"A company used by US government agencies to accept online payments exposed personal records via a standard web browser, including addresses, phone numbers and credit card digits.",finance,poor security,2,https://krebsonsecurity.com/2018/09/govpaynow-com-leaks-14m-records/
Greek government,9000000,2012,September ,A computer programmer was arrested in Greece for allegedly stealing the identity information of 83% of the country's population. The 35-year-old was suspected of trying to sell it on.,government,hacked,2,http://www.wired.co.uk/news/archive/2012-11/22/greece-id-theft
Grindr,3000000,2018,May,"A third-party tool that allows users to see who had blocked them was able to access non-public personal info, including locations of users who had opted out of location sharing.",app,poor security,3,https://www.nbcnews.com/feature/nbc-out/security-flaws-gay-dating-app-grindr-expose-users-location-data-n858446
GS Caltex,11100000,2008,March,Two multimedia discs containing personal data of Korean customers was found by an office worker in a trash pile in Seoul. Likely to have been stolen by an employee.,misc,inside job,2,http://english.donga.com/srv/service.php3?biid=2008090631088
Guntrader,111000,2021,February ,"Criminals have hacked into a Gumtree-style website used for buying and selling firearms, making off with a 111,000-entry database containing names, mobile phone numbers, email addresses, user geolocation data, and more including bcrypt-hashed passwords used by gun shops across the UK.",retail,hacked,2,https://www.theregister.com/2021/07/23/guntrader_hacked_111k_users_sql_database/
Hacking Team,500000,2015,November,"An Italian hacking firm which sells digital surveillance software to national security organisations and including those of repressive regimes and was itself hacked, and the data put on BitTorrent.",web,hacked,5,http://www.theguardian.com/technology/2015/jul/06/hacking-team-hacked-firm-sold-spying-tools-to-repressive-regimes-documents-claim
Hannaford Brothers Supermarket Chain,4200000,2008,May,An estimated 4.2 million credit and debit card numbers were stolen when payment data was intercepted by hackers.,retail,hacked,3,https://www.networkworld.com/article/2284998/lan-wan/details-emerging-on-hannaford-data-breach.html
HauteLook,28000000,2019,May,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",retail,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Health Net,1500000,2009,February ,A portable hard drive with seven years worth of personal and medical information was lost for six months before being reported.,health,lost device,4,https://www.computerworld.com/article/2521838/security0/health-net-says-1-5m-medical-records-lost-in-data-breach.html
Health Net - IBM,1900000,2011,September ,As many as nine server drives containing personal information of former and current employees went missing from an IBM data center in California.,health,lost device,3,https://spectrum.ieee.org/riskfactor/computing/it/health-net-data-breaches-affects-19-million-people
Heartland,130000000,2009,July,"Keylogging malware caused a massive data breach. Heartland eventually paid more than $110 million to Visa, MasterCard, American Express and other card associations to settle claims.",finance,hacked,3,https://www.darkreading.com/attacks-and-breaches/heartland-payment-systems-hit-by-data-security-breach/d/d-id/1075770
Helse Vest RHF,3000000,2018,December,Patient records of more than half of Norway's population were stolen. The hack is thought to have happened via old computers running Windows XP.,health,hacked,4,https://www.itgovernance.eu/blog/en/breach-at-norways-largest-healthcare-authority-was-a-disaster-waiting-to-happen
Heroku,50000,2022,May,"A compromised token was used by attackers to exfiltrate customers' hashed and salted passwords from ""a database."" on the Salesforce-owned cloud platform.",tech,hacked,2,https://www.bleepingcomputer.com/news/security/heroku-admits-that-customer-credentials-were-stolen-in-cyberattack/
Hewlett Packard,200000,2006,February ,"A laptop containing employee data was either lost or stolen. It included names, addresses, Social Security numbers, dates of birth and other employment-related information.",tech,lost device,2,https://www.computerweekly.com/news/2240076956/Personal-data-on-200000-HP-employees-stolen
High Tail Hall,411000,2018,February ,"Hackers obtained email addresses, names, order histories, hashed passwords, physical and IP addresses for users of an ""erotic role-playing game"".",web,hacked,2,https://www.dailymail.co.uk/sciencetech/article-6415441/Furry-erotica-site-hit-data-breach-exposed-hundreds-thousands-users-information.html
Ho Mobile,2500000,2020,September ,"Italian mobile operator owned by Vodaphone is now taking the rare step of offering to replace the SIM cards of all affected customers. Data hacked full names, telephone numbers, social security numbers, email addresses, dates and places of birth, nationality, and home addresses.",telecoms,hacked,2,https://www.zdnet.com/article/italian-mobile-operator-offers-to-replace-sim-cards-after-massive-data-breach/
Home Depot,56000000,2014,October,"Malware installed on cash register systems at 2,200 stores syphoned credit card details of up to 56 million customers, which were then sold online.",retail,hacked,3,http://krebsonsecurity.com/2014/09/banks-credit-card-breach-at-home-depot/
Honda Canada,283000,2011,May,"Names, addresses and vehicle identification numbers were taken from two of the firms' eCommerce websites, myHonda and myAcura",retail,hacked,2,http://www.guelphmercury.com/news-story/2200845-honda-canada-hit-by-online-security-breach-283-000-car-owners-personal-data-stolen/
Hong Kong Registration & Electoral Office,3700000,2017,June,Two laptop computers were stolen at the backup venue for the election of the leader of Hong Kong. The names of electors and personal information of the city's voters was compromised.,government,lost device,2,http://www.scmp.com/news/hong-kong/politics/article/2082566/laptops-containing-37-million-hong-kong-voters-data-stolen
Houzz,57000000,2019,April,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,retail,hacked,2,https://techcrunch.com/2019/01/31/houzz-data-breach/
HSBC Turkey,2700000,2014,March,"An attack on credit and debit card systems left numbers, account numbers, expiry dates and customer names compromised.",finance,hacked,4,http://www.reuters.com/article/us-hsbc-turkey-cybersecurity/hsbc-turkey-says-customer-credit-card-data-stolen-idUSKCN0IW1RR20141112
Imgur,1700000,2017,January,Stolen email addresses and hashed passwords were being sold on the dark web for just over $1000.,app,hacked,4,https://blog.imgur.com/2017/11/24/notice-of-data-breach/
Indian citizens,275265298,2019,December,"The discovery of a huge, unprotected MongoDB database containing personal information of Indian citizens, including their education, resume and current salary.",web,poor security,2,https://www.bleepingcomputer.com/news/security/over-275-million-records-exposed-by-unsecured-mongodb-database/
Indiana University,146000,2014,July,Students who attended the university between 2011 and 2014 may have had their data accessed by three automated computer data mining applications.,academic,poor security,2,http://news.iu.edu/releases/iu/2014/02/data-exposure-disclosure.shtml
Instagram,6000000,2017,September ,"A bug in Instagram's API exposed users' contact details. The data was placed online in a searchable database, with a charge of $10 per search.",web,hacked,1,https://www.theverge.com/2017/9/1/16244304/instagram-hack-api-bug-doxagram-selena-gomez
Interpark,10000000,2016,December,South Korean police blamed North Korea for stealing personal customer data from a shopping mall's server in an attempt to obtain foreign currency.,web,hacked,2,http://www.nytimes.com/2016/07/29/world/asia/north-korea-hacking-interpark.html
Invest Bank,40000,2015,June,"A hacker breached the systems of a UAE bank. They demanded a ransom of $3m in bitcoin to stop tweeting data, relating mainly to corporate accounts.",finance,hacked,4,https://www.dailydot.com/debug/invest-bank-hacker-buba/
IRS,100000,2015,December,"An organized crime syndicate used the IRS website to steal taxpayers' personal financial information. 15,000 of them were used to claim refunds in other people's names.",government,hacked,1,http://money.cnn.com/2015/05/26/pf/taxes/irs-website-data-hack/index.html
Israeli government,6500000,2020,July,"Names, addresses, and ID card numbers of every Israeli voter were found on an insecure website belonging to Elector, a political communications app.",government,poor security,2,https://www.nytimes.com/2020/02/10/world/middleeast/israeli-voters-leak.html?action=click&module=News&pgtype=Homepage
Ixigo,18000000,2019,May,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,transport,poor security,1,https://techcrunch.com/2019/02/14/hacker-strikes-again/
Japan Airlines,750000,2014,June,"Japan Airlines confirmed the possible theft of information from up to 750,000 frequent-flier programme members, including names, birth dates, addresses and places of work.",transport,hacked,2,http://online.wsj.com/articles/japan-airlines-reports-hacker-attack-1412053828
JP Morgan Chase,76000000,2014,July,"A hack of the USA's largest bank began in June, but was not discovered until July, when the hackers had already obtained the highest level of administrative privilege for dozens of servers.",finance,hacked,3,http://dealbook.nytimes.com/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?_php=true&_type=blogs&_r=0
JP Morgan Chase,2600000,2007,April,Personal information was mistakenly identified as trash and thrown out in garbage bags outside five branch offices in New York.,finance,lost device,3,http://www.pcworld.com/article/131453/article.html
KDDI,4000000,2006,May,"Tokyo police arrested two men for trying to extort nearly US$90,000. The pair allegedly threatened to disclose the existence of storage media containing personal data.",telecoms,hacked,1,http://www.computerworld.com/s/article/9001150/KDDI_suffers_massive_data_breach
Kirkwood Community College,125000,2013,December,"Hackers accessed data relating to applications made between February 2006 and March 2013, including names, birth dates, race, contact information and Social Security numbers.",academic,hacked,2,https://www.esecurityplanet.com/hackers/kirkwood-community-college-hacked.html
KM.ru & Nival,1500000,2016,June,A hacker targeted several Russian websites in revenge for the shooting down of flight MH17 over Ukraine. They included videogame firm Nival and email provider KM.ru.,web,hacked,4,https://motherboard.vice.com/en_us/article/pgkp57/a-teen-hacker-is-targeting-russian-sites-as-revenge-for-the-mh17-crash
Korea Credit Bureau,20000000,2014,November,An employee was accused of of stealing data from customers of three credit card firms while working as a temporary consultant.,finance,inside job,5,http://www.securityweek.com/20-million-people-fall-victim-south-korea-data-leak
Kromtech,13000000,2015,August,"A security researcher stumbled on an insecure database belonging to the Mac software provider, containing usernames, email addresses and passwords.",web,hacked,1,https://www.bbc.co.uk/news/technology-35100330
KT Corp.,8700000,2012,April,"Two suspects earned an estimated $877,000 by selling the contact information and plan details of 8.7 million subscribers to Korea's second largest mobile phone network.",telecoms,hacked,2,http://www.koreatimes.co.kr/www/news/biz/2012/07/113_116143.html
Last.fm,43500000,2012,October,"Usernames, email addresses and other internal records, such as newsletter sign-ups and ad-related data, were stolen in a 2012 hack.",web,hacked,1,http://www.zdnet.com/article/hackers-stole-43-million-last-fm-account-details-in-2012-breach/
Ledger,270000,2020,October,A threat actor has leaked the stolen email and mailing addresses for Ledger cryptocurrency wallet users on a hacker forum for free.,finance,hacked,2,https://www.bleepingcomputer.com/news/security/physical-addresses-of-270k-ledger-owners-leaked-on-hacker-forum/
Lincoln Medical & Mental Health Center,130495,2010,March,Protected health information was exposed after seven CDs were lost in transit with FedEx.,health,lost device,4,https://www.pcworld.idg.com.au/article/351659/new_york_hospital_loses_data_130_000_via_fedex/
LINE Pay,133000,2021,November,"""Files detailing participants in a LINE Pay promotional program staged between late December 2020 and April 2021 were accidentally uploaded to the collaborative coding crèche by a research group employee. Among the leaked details were the date, time, and amount of transactions, plus user and franchise store identification numbers. Although names, addresses, telephone, credit card and bank account numbers were not shared, the names of the users and other details could be traced with a little effort.""",finance,poor security,2,https://www.theregister.com/2021/12/07/line_pay_leaks_around_133000/
Linkedin,700000000,2021,May,"The hacker appears to have misused the official LinkedIn API to scrape the data, the same method used in a similar breach back in April. User details, but no passwords.",web,hacked,1,https://9to5mac.com/2021/06/29/linkedin-breach/
LinkedIn,117000000,2016,July,"A massive batch of login credentials was discovered on the black market after being stolen by hackers. The breach dated from 2012, when the firm's password security policies were weak.",web,hacked,1,http://money.cnn.com/2016/05/19/technology/linkedin-hack/
"LinkedIn, eHarmony, Last.fm",8000000,2012,March,"Hacker 'dwdm' uploaded a file containing 6.5 million passwords to a Russian hacker forum. Soon after, another 1.5 million passwords were discovered in another file on the forum.",web,hacked,1,http://news.cnet.com/8301-1009_3-57449325-83/what-the-password-leaks-mean-to-you-faq/?tag=mncol;txt
Linux Ubuntu forums,2000000,2016,April,"2 million usernames, email addresses, and IP addresses were compromised via a vulnerability in the forum software.",web,hacked,1,https://www.zdnet.com/article/ubuntu-forums-hack-exposes-two-million-users/
Living Social,50000000,2013,November,"Hackers gained access to names, e-mail addresses, dates of birth & encrypted passwords for 50 million users of an online offers site part-owned by Amazon.",web,hacked,1,http://nakedsecurity.sophos.com/2013/04/27/livingsocial-hacked-50-million-affected/
LocalBlox,48000000,2018,February ,"A cloud storage repository was left publically accessible. Data included names, addresses, DOBs, and other information scraped from social media websites including Facebook.",web,poor security,2,https://www.upguard.com/breaches/s3-localblox
Lynda.com,9500000,2016,April,"Hackers breached a database holding contact information and interest in online courses. Lynda's owners, LinkedIn, said that 55,000 user passwords were also breached.",web,hacked,1,https://www.neowin.net/news/microsoft-owned-linkedin-is-sending-emails-to-users-about-a-lyndacom-data-breach
MacDonalds,10000000,2021,February ,Unknown detail,retail,hacked,2,https://www.wsj.com/articles/mcdonalds-hit-by-data-breach-in-south-korea-taiwan-11623412800
MacRumours.com,860000,2013,January,"A moderator account on the forum was logged into by the hacker, who then was able to escalate privileges. All users were advised to change their passwords.",web,hacked,1,http://www.wired.co.uk/news/archive/2013-11/13/mac-rumours-forums-hacked
Mail. ru,25000000,2016,March,"Two hackers attacked three game-related forums hosted by the Russian company Mail.ru. They stole email addresses, scrambled passwords and birthdates.",web,hacked,2,http://www.zdnet.com/article/over-25-million-accounts-stolen-after-mail-ru-forums-raided-by-hackers/
Mailchimp,106586,2022,April,Hackers gained access to internal customer support and account management tools of the email marketing company to steal audience data and conduct phishing attacks.,tech,hacked,1,https://www.bleepingcomputer.com/news/security/hackers-breach-mailchimps-internal-tools-to-target-crypto-customers/
Malaysian medical practitioners,81309,2017,August,"Databases belonging to the Malaysian Medical Council, the Malaysian Medical Association and the Malaysian Dental Association were discovered online after being stolen in 2014.",health,hacked,4,https://www.silicon.co.uk/cloud/data-breach-mobile-numbers-malaysia-224079
Malaysian telcos & MVNOs,46200000,2017,July,"Phone numbers, customer details, addresses and SIM card information from over a dozen Malaysian mobile providers was discovered online after being stolen in 2014.",telecoms,hacked,4,https://www.lowyat.net/2017/146339/46-2-million-mobile-phone-numbers-leaked-from-2014-data-breach/
Marriott Hotels,5200000,2020,April,Guest records were accessed using the logins of two employees between mid-Jan and end of Feb.,retail,inside job,2,https://news.marriott.com/news/2020/03/31/marriott-international-notifies-guests-of-property-system-incident
Marriott International,383000000,2018,March,"Hackers breached the reservation system of all Starwood hotels, including Sheraton, Westin and Le Meridien. Personal information, credit card details and passport info dating back to 2014 was stolen.",retail,hacked,3,https://www.nytimes.com/2018/11/30/business/marriott-data-breach.html
Massachusetts Government,210000,2011,August,"Over 1,500 departmental computers were infected with malware which downloads additional files, steals information and opens a back door on the compromised computer.",government,hacked,5,http://www.nbcnews.com/id/43086769/ns/technology_and_science-security/t/huge-data-breach-puts-risk/#.XAfhPhP7TUI
Massive American business hack,160000000,2013,May,"For more than seven years a hacking ring targeted banks, payment processors and chain stores to steal more than 160 million credit and debit card numbers.",finance,hacked,5,https://www.technologyreview.com/s/517551/prosecutors-describe-massive-breach-of-credit-card-data/
MBM Company,1300000,2018,June,"An insecure customer database belonging to the jewellery firm exposed postal addresses, email addresses, IP addresses and plain-text passwords.",retail,poor security,4,https://thenextweb.com/security/2018/03/14/jewelry-site-accidentally-leaks-personal-details-plaintext-passwords-1-3m-users/
Medicaid,780000,2012,March,"Hackers operating out of Eastern Europe circumvented server security at the Utah Health Department, stealing the Social Security numbers of Medicaid claimants.",government,hacked,5,https://www.reuters.com/article/us-usa-hackers-utah/european-hackers-suspected-in-utah-medicaid-files-breach-idUSBRE83404G20120405
Medicare & Medicaid,93689,2018,June,"""Sensitive"" information on applicants for US healthcare plans was hacked. It included names, birth dates, addresses, expected income & health insurance status.",health,hacked,2,https://www.hcanews.com/news/update-94k-hit-in-cms-data-breach
